"cluster","group","n_cells","resolution","role","field","within_cluster_fraction"
"3","HRA003620_NC-04",0,0.2,"specimen_orig_ident","orig.ident",0
"4","HRA003620_NC-04",10,0.2,"specimen_orig_ident","orig.ident",0.00796812749003984
"5","HRA003620_NC-04",0,0.2,"specimen_orig_ident","orig.ident",0
"6","HRA003620_NC-04",1,0.2,"specimen_orig_ident","orig.ident",0.00174825174825175
"7","HRA003620_NC-04",34,0.2,"specimen_orig_ident","orig.ident",0.0752212389380531
"8","HRA003620_NC-04",2,0.2,"specimen_orig_ident","orig.ident",0.00735294117647059
"9","HRA003620_NC-04",0,0.2,"specimen_orig_ident","orig.ident",0
"0","HRA003620_NC-05",68,0.2,"specimen_orig_ident","orig.ident",0.0118735812816483
"1","HRA003620_NC-05",1,0.2,"specimen_orig_ident","orig.ident",0.000278318953520735
"2","HRA003620_NC-05",6,0.2,"specimen_orig_ident","orig.ident",0.00250312891113892
"3","HRA003620_NC-05",0,0.2,"specimen_orig_ident","orig.ident",0
"4","HRA003620_NC-05",4,0.2,"specimen_orig_ident","orig.ident",0.00318725099601594
"5","HRA003620_NC-05",7,0.2,"specimen_orig_ident","orig.ident",0.0078740157480315
"6","HRA003620_NC-05",0,0.2,"specimen_orig_ident","orig.ident",0
"7","HRA003620_NC-05",12,0.2,"specimen_orig_ident","orig.ident",0.0265486725663717
