"cluster","group","n_cells","resolution","field","within_cluster_fraction"
"9","GSE326225_BC7",0,0.4,"orig.ident",0
"10","GSE326225_BC7",0,0.4,"orig.ident",0
"11","GSE326225_BC7",3,0.4,"orig.ident",0.00576923076923077
"12","GSE326225_BC7",5,0.4,"orig.ident",0.0111111111111111
"13","GSE326225_BC7",0,0.4,"orig.ident",0
"0","GSE326225_BC8",1,0.4,"orig.ident",0.000104220948410631
"1","GSE326225_BC8",11,0.4,"orig.ident",0.00118867516749514
"2","GSE326225_BC8",2,0.4,"orig.ident",0.000617665225447807
"3","GSE326225_BC8",7,0.4,"orig.ident",0.00220125786163522
"4","GSE326225_BC8",0,0.4,"orig.ident",0
"5","GSE326225_BC8",0,0.4,"orig.ident",0
"6","GSE326225_BC8",0,0.4,"orig.ident",0
"7","GSE326225_BC8",7,0.4,"orig.ident",0.00705645161290323
"8","GSE326225_BC8",9,0.4,"orig.ident",0.00955414012738853
"9","GSE326225_BC8",0,0.4,"orig.ident",0
"10","GSE326225_BC8",0,0.4,"orig.ident",0
"11","GSE326225_BC8",2,0.4,"orig.ident",0.00384615384615385
"12","GSE326225_BC8",3,0.4,"orig.ident",0.00666666666666667
"13","GSE326225_BC8",0,0.4,"orig.ident",0
"0","HRA003620_BC-01",19,0.4,"orig.ident",0.00198019801980198
"1","HRA003620_BC-01",53,0.4,"orig.ident",0.0057272530797493
"2","HRA003620_BC-01",52,0.4,"orig.ident",0.016059295861643
"3","HRA003620_BC-01",30,0.4,"orig.ident",0.00943396226415094
"4","HRA003620_BC-01",1,0.4,"orig.ident",0.000403551251008878
"5","HRA003620_BC-01",0,0.4,"orig.ident",0
"6","HRA003620_BC-01",18,0.4,"orig.ident",0.012921751615219
"7","HRA003620_BC-01",13,0.4,"orig.ident",0.0131048387096774
"8","HRA003620_BC-01",4,0.4,"orig.ident",0.00424628450106157
"9","HRA003620_BC-01",4,0.4,"orig.ident",0.00475624256837099
"10","HRA003620_BC-01",7,0.4,"orig.ident",0.00925925925925926
"11","HRA003620_BC-01",7,0.4,"orig.ident",0.0134615384615385
"12","HRA003620_BC-01",9,0.4,"orig.ident",0.02
"13","HRA003620_BC-01",1,0.4,"orig.ident",0.00671140939597315
"0","HRA003620_BC-04",203,0.4,"orig.ident",0.021156852527358
"1","HRA003620_BC-04",359,0.4,"orig.ident",0.0387940350118868
"2","HRA003620_BC-04",81,0.4,"orig.ident",0.0250154416306362
"3","HRA003620_BC-04",32,0.4,"orig.ident",0.010062893081761
"4","HRA003620_BC-04",0,0.4,"orig.ident",0
"5","HRA003620_BC-04",0,0.4,"orig.ident",0
"6","HRA003620_BC-04",43,0.4,"orig.ident",0.0308686288585786
"7","HRA003620_BC-04",6,0.4,"orig.ident",0.00604838709677419
"8","HRA003620_BC-04",2,0.4,"orig.ident",0.00212314225053079
"9","HRA003620_BC-04",83,0.4,"orig.ident",0.098692033293698
"10","HRA003620_BC-04",7,0.4,"orig.ident",0.00925925925925926
