"cluster","group","n_cells","resolution","role","field","within_cluster_fraction"
"9","CNP0000460_P06T",6,0.2,"specimen_orig_ident","orig.ident",0.0178041543026706
"10","CNP0000460_P06T",1,0.2,"specimen_orig_ident","orig.ident",0.003003003003003
"11","CNP0000460_P06T",0,0.2,"specimen_orig_ident","orig.ident",0
"12","CNP0000460_P06T",0,0.2,"specimen_orig_ident","orig.ident",0
"0","CNP0000460_P07N",246,0.2,"specimen_orig_ident","orig.ident",0.0230315513528696
"1","CNP0000460_P07N",0,0.2,"specimen_orig_ident","orig.ident",0
"2","CNP0000460_P07N",0,0.2,"specimen_orig_ident","orig.ident",0
"3","CNP0000460_P07N",44,0.2,"specimen_orig_ident","orig.ident",0.0141206675224647
"4","CNP0000460_P07N",9,0.2,"specimen_orig_ident","orig.ident",0.00413602941176471
"5","CNP0000460_P07N",21,0.2,"specimen_orig_ident","orig.ident",0.0202507232401157
"6","CNP0000460_P07N",11,0.2,"specimen_orig_ident","orig.ident",0.0107948969578018
"7","CNP0000460_P07N",4,0.2,"specimen_orig_ident","orig.ident",0.00583941605839416
"8","CNP0000460_P07N",0,0.2,"specimen_orig_ident","orig.ident",0
"9","CNP0000460_P07N",2,0.2,"specimen_orig_ident","orig.ident",0.00593471810089021
"10","CNP0000460_P07N",3,0.2,"specimen_orig_ident","orig.ident",0.00900900900900901
"11","CNP0000460_P07N",1,0.2,"specimen_orig_ident","orig.ident",0.00411522633744856
"12","CNP0000460_P07N",1,0.2,"specimen_orig_ident","orig.ident",0.00483091787439614
"0","CNP0000460_P07T",14,0.2,"specimen_orig_ident","orig.ident",0.00131073869487876
"1","CNP0000460_P07T",161,0.2,"specimen_orig_ident","orig.ident",0.0405235338535112
"2","CNP0000460_P07T",49,0.2,"specimen_orig_ident","orig.ident",0.0155259822560203
"3","CNP0000460_P07T",69,0.2,"specimen_orig_ident","orig.ident",0.0221437740693196
"4","CNP0000460_P07T",24,0.2,"specimen_orig_ident","orig.ident",0.0110294117647059
"5","CNP0000460_P07T",8,0.2,"specimen_orig_ident","orig.ident",0.0077145612343298
"6","CNP0000460_P07T",7,0.2,"specimen_orig_ident","orig.ident",0.00686947988223749
"7","CNP0000460_P07T",0,0.2,"specimen_orig_ident","orig.ident",0
"8","CNP0000460_P07T",0,0.2,"specimen_orig_ident","orig.ident",0
"9","CNP0000460_P07T",6,0.2,"specimen_orig_ident","orig.ident",0.0178041543026706
"10","CNP0000460_P07T",0,0.2,"specimen_orig_ident","orig.ident",0
"11","CNP0000460_P07T",6,0.2,"specimen_orig_ident","orig.ident",0.0246913580246914
"12","CNP0000460_P07T",0,0.2,"specimen_orig_ident","orig.ident",0
"0","GSE326225_BC1",2,0.2,"specimen_orig_ident","orig.ident",0.00018724838498268
"1","GSE326225_BC1",44,0.2,"specimen_orig_ident","orig.ident",0.0110747545935062
"2","GSE326225_BC1",0,0.2,"specimen_orig_ident","orig.ident",0
"3","GSE326225_BC1",2,0.2,"specimen_orig_ident","orig.ident",0.000641848523748395
"4","GSE326225_BC1",99,0.2,"specimen_orig_ident","orig.ident",0.0454963235294118
"5","GSE326225_BC1",99,0.2,"specimen_orig_ident","orig.ident",0.0954676952748312
"6","GSE326225_BC1",53,0.2,"specimen_orig_ident","orig.ident",0.0520117762512267
"7","GSE326225_BC1",157,0.2,"specimen_orig_ident","orig.ident",0.229197080291971
"8","GSE326225_BC1",0,0.2,"specimen_orig_ident","orig.ident",0
"9","GSE326225_BC1",32,0.2,"specimen_orig_ident","orig.ident",0.0949554896142433
"10","GSE326225_BC1",7,0.2,"specimen_orig_ident","orig.ident",0.021021021021021
"11","GSE326225_BC1",28,0.2,"specimen_orig_ident","orig.ident",0.11522633744856
"12","GSE326225_BC1",0,0.2,"specimen_orig_ident","orig.ident",0
"0","GSE326225_BC2",0,0.2,"specimen_orig_ident","orig.ident",0
"1","GSE326225_BC2",15,0.2,"specimen_orig_ident","orig.ident",0.00377548452051347
"2","GSE326225_BC2",3,0.2,"specimen_orig_ident","orig.ident",0.000950570342205323
"3","GSE326225_BC2",9,0.2,"specimen_orig_ident","orig.ident",0.00288831835686778
"4","GSE326225_BC2",4,0.2,"specimen_orig_ident","orig.ident",0.00183823529411765
"5","GSE326225_BC2",3,0.2,"specimen_orig_ident","orig.ident",0.00289296046287367
"6","GSE326225_BC2",0,0.2,"specimen_orig_ident","orig.ident",0
"7","GSE326225_BC2",0,0.2,"specimen_orig_ident","orig.ident",0
"8","GSE326225_BC2",0,0.2,"specimen_orig_ident","orig.ident",0
"9","GSE326225_BC2",0,0.2,"specimen_orig_ident","orig.ident",0
"10","GSE326225_BC2",1,0.2,"specimen_orig_ident","orig.ident",0.003003003003003
"11","GSE326225_BC2",0,0.2,"specimen_orig_ident","orig.ident",0
"12","GSE326225_BC2",0,0.2,"specimen_orig_ident","orig.ident",0
"0","GSE326225_BC3",0,0.2,"specimen_orig_ident","orig.ident",0
"1","GSE326225_BC3",40,0.2,"specimen_orig_ident","orig.ident",0.0100679587213692
"2","GSE326225_BC3",1,0.2,"specimen_orig_ident","orig.ident",0.000316856780735108
"3","GSE326225_BC3",56,0.2,"specimen_orig_ident","orig.ident",0.0179717586649551
"4","GSE326225_BC3",24,0.2,"specimen_orig_ident","orig.ident",0.0110294117647059
"5","GSE326225_BC3",17,0.2,"specimen_orig_ident","orig.ident",0.0163934426229508
"6","GSE326225_BC3",1,0.2,"specimen_orig_ident","orig.ident",0.00098135426889107
"7","GSE326225_BC3",2,0.2,"specimen_orig_ident","orig.ident",0.00291970802919708
"8","GSE326225_BC3",0,0.2,"specimen_orig_ident","orig.ident",0
"9","GSE326225_BC3",3,0.2,"specimen_orig_ident","orig.ident",0.00890207715133531
"10","GSE326225_BC3",7,0.2,"specimen_orig_ident","orig.ident",0.021021021021021
"11","GSE326225_BC3",5,0.2,"specimen_orig_ident","orig.ident",0.0205761316872428
"12","GSE326225_BC3",0,0.2,"specimen_orig_ident","orig.ident",0
"0","GSE326225_BC4",0,0.2,"specimen_orig_ident","orig.ident",0
"1","GSE326225_BC4",5,0.2,"specimen_orig_ident","orig.ident",0.00125849484017116
"2","GSE326225_BC4",0,0.2,"specimen_orig_ident","orig.ident",0
"3","GSE326225_BC4",3,0.2,"specimen_orig_ident","orig.ident",0.000962772785622593
"4","GSE326225_BC4",12,0.2,"specimen_orig_ident","orig.ident",0.00551470588235294
"5","GSE326225_BC4",23,0.2,"specimen_orig_ident","orig.ident",0.0221793635486982
"6","GSE326225_BC4",8,0.2,"specimen_orig_ident","orig.ident",0.00785083415112856
"7","GSE326225_BC4",8,0.2,"specimen_orig_ident","orig.ident",0.0116788321167883
"8","GSE326225_BC4",0,0.2,"specimen_orig_ident","orig.ident",0
"9","GSE326225_BC4",3,0.2,"specimen_orig_ident","orig.ident",0.00890207715133531
"10","GSE326225_BC4",2,0.2,"specimen_orig_ident","orig.ident",0.00600600600600601
"11","GSE326225_BC4",9,0.2,"specimen_orig_ident","orig.ident",0.037037037037037
"12","GSE326225_BC4",0,0.2,"specimen_orig_ident","orig.ident",0
"0","GSE326225_BC5",0,0.2,"specimen_orig_ident","orig.ident",0
"1","GSE326225_BC5",12,0.2,"specimen_orig_ident","orig.ident",0.00302038761641077
"2","GSE326225_BC5",0,0.2,"specimen_orig_ident","orig.ident",0
"3","GSE326225_BC5",0,0.2,"specimen_orig_ident","orig.ident",0
"4","GSE326225_BC5",4,0.2,"specimen_orig_ident","orig.ident",0.00183823529411765
